date,type,nom_gare,comptage_normalisé
2021-05-12,,Paris Gare de Lyon,0.04
2021-05-12,,Paris Gare de Lyon,0.04
2021-05-12,,Paris Gare de Lyon,0.04
2021-05-12,,Paris Gare de Lyon,0.04
2021-05-13,,Paris Gare de Lyon,0.04
2021-05-13,,Paris Gare de Lyon,0.04
2021-05-13,,Paris Gare de Lyon,0.04
2021-05-13,,Paris Gare de Lyon,0.04
2021-05-13,,Paris Gare de Lyon,0.04
2021-05-14,,Paris Gare de Lyon,0.04
2021-05-14,,Paris Gare de Lyon,0.04
2021-05-14,,Paris Gare de Lyon,0.04
2021-05-14,,Paris Gare de Lyon,0.04
2021-05-14,,Paris Gare de Lyon,0.04
2021-05-15,,Paris Gare de Lyon,0.04
2021-05-16,,Paris Gare de Lyon,0.04
2021-05-16,,Paris Gare de Lyon,0.04
2021-05-16,,Paris Gare de Lyon,0.04
2021-05-16,,Paris Gare de Lyon,0.04
2021-05-17,,Paris Gare de Lyon,0.04
2021-05-17,,Paris Gare de Lyon,0.04
2021-05-17,,Paris Gare de Lyon,0.04
2021-05-17,,Paris Gare de Lyon,0.04
2021-05-17,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-18,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-19,,Paris Gare de Lyon,0.04
2021-05-20,,Paris Gare de Lyon,0.04
